date,open,close,high,low,volume,amount,pct_chg,turnover
2025-07-04,1363.719,1370.239,1379.909,1358.029,28767,39417665.313,0.0,0.0
2025-07-07,1370.299,1358.719,1371.519,1358.029,23855,32412241.745,-0.840729245044114,0.0
2025-07-08,1358.729,1364.129,1368.019,1358.719,18674,25473744.946,0.39816915786117235,0.0
2025-07-09,1363.019,1366.899,1377.989,1362.189,27745,37924612.754999995,0.203059974533204,0.0
2025-07-10,1366.989,1374.519,1384.199,1358.419,38725,53228248.275,0.5574662063546842,0.0
2025-07-11,1371.179,1375.019,1406.019,1371.179,57243,78710212.617,0.03637636147626466,0.0
2025-07-14,1378.019,1371.619,1382.999,1369.619,27781,38104947.438999996,-0.24726931046044065,0.0
2025-07-15,1368.999,1359.019,1370.949,1356.339,35406,48117426.714,-0.9186224454458491,0.0
2025-07-16,1358.029,1359.049,1365.509,1357.969,21286,28928717.014,0.002207474656357178,0.0
2025-07-17,1361.999,1364.369,1371.029,1360.899,23106,31525110.113999996,0.3914501978957263,0.0
2025-07-18,1368.019,1385.019,1385.829,1364.399,41823,57925649.637,1.5135201693969869,0.0
2025-07-21,1385.009,1391.019,1394.819,1383.019,26203,36448870.857,0.433207053477247,0.0
2025-07-22,1392.019,1412.999,1414.619,1388.699,42119,59514104.881000005,1.5801365761359154,0.0
2025-07-23,1417.019,1423.519,1443.019,1416.969,45045,64122413.355,0.7445157427570681,0.0
2025-07-24,1424.019,1439.519,1447.019,1423.019,38804,55859095.276,1.1239751629588346,0.0
2025-07-25,1439.419,1403.019,1439.419,1401.019,41911,58801929.309,-2.5355691727584007,0.0
2025-07-28,1401.019,1386.679,1403.009,1384.319,38586,53506395.894,-1.1646314126893431,0.0
2025-07-29,1387.619,1387.019,1396.809,1383.029,26304,36484147.776,0.02451901269147072,0.0
2025-07-30,1392.019,1397.459,1405.179,1385.019,31868,44534223.412,0.7526933661327062,0.0
2025-07-31,1391.019,1369.689,1392.889,1366.019,51798,70947150.822,-1.9871781569262503,0.0
2025-08-01,1369.889,1365.019,1373.979,1362.019,29636,40453703.084,-0.3409533112991414,0.0
2025-08-04,1363.019,1367.019,1367.819,1362.019,18688,25546851.072,0.1465181070739785,0.0
2025-08-05,1369.019,1375.759,1377.959,1365.129,25342,34864484.578,0.6393473682516415,0.0
2025-08-06,1377.019,1371.899,1377.019,1367.319,23699,32512634.400999997,-0.28057239676426704,0.0
2025-08-07,1371.899,1370.369,1375.719,1368.079,28001,38371702.368999995,-0.11152424486058354,0.0
2025-08-08,1371.069,1368.989,1374.519,1366.019,18655,25538489.795,-0.10070280340549465,0.0
2025-08-11,1371.519,1393.019,1400.009,1371.019,47159,65693383.021,1.7553099404012729,0.0
2025-08-12,1397.019,1385.059,1413.089,1384.019,42019,58198794.121,-0.5714207774624835,0.0
2025-08-13,1373.019,1368.069,1381.699,1368.019,65528,89646825.432,-1.2266625465052416,0.0
2025-08-14,1368.959,1375.009,1395.529,1368.959,48129,66177808.161,0.5072843548096007,0.0
2025-08-15,1374.029,1370.099,1376.679,1368.239,47582,65192050.61799999,-0.3570885717839034,0.0
2025-08-18,1375.009,1376.519,1384.659,1371.119,47378,65216717.182000004,0.4685792778478026,0.0
2025-08-19,1381.519,1386.019,1394.679,1380.019,46372,64272473.068,0.6901466670637957,0.0
2025-08-20,1386.019,1398.019,1400.819,1378.039,45805,64036260.295,0.8657889971205313,0.0
2025-08-21,1401.469,1396.269,1403.009,1391.669,30891,43132145.679,-0.1251771256327694,0.0
2025-08-22,1396.899,1411.969,1412.019,1392.789,44971,63497657.899000004,1.1244251644919379,0.0
2025-08-25,1418.029,1438.349,1444.019,1414.019,65325,93960148.425,1.8683129728768844,0.0
2025-08-26,1438.339,1429.629,1442.249,1428.029,39602,56616167.658,-0.6062506387531807,0.0
2025-08-27,1429.899,1396.019,1432.949,1396.019,56006,78185440.11400001,-2.350959584619494,0.0
2025-08-28,1395.989,1394.119,1404.119,1386.789,39282,54763782.558,-0.13610129948088412,0.0
2025-08-29,1401.019,1428.019,1430.599,1400.019,62256,88902750.86400001,2.4316432097977403,0.0
2025-09-01,1430.219,1424.119,1436.019,1413.719,45123,64260521.636999995,-0.2731056099393725,0.0
2025-09-02,1426.679,1439.319,1457.019,1426.019,56688,81592115.472,1.067326536616675,0.0
2025-09-03,1439.019,1428.569,1451.519,1414.019,45045,64349890.605,-0.7468809902460793,0.0
2025-09-04,1420.019,1420.679,1427.319,1408.489,47747,67833160.213,-0.5523009389115874,0.0
2025-09-05,1419.019,1431.019,1434.989,1412.019,37388,53502938.372,0.7278209926380175,0.0
2025-09-08,1431.019,1449.249,1454.459,1425.519,51383,74466761.367,1.2739173973231654,0.0
2025-09-09,1453.019,1453.019,1457.969,1441.439,35743,51935258.117,0.26013473185078073,0.0
2025-09-10,1454.679,1470.029,1477.969,1444.019,49663,73006050.227,1.1706660408432379,0.0
2025-09-11,1470.029,1471.519,1474.039,1456.519,37239,54797896.041,0.10135854462736127,0.0
2025-09-12,1474.019,1464.019,1486.039,1458.549,33722,49369648.718,-0.5096774149705219,0.0
2025-09-15,1463.889,1463.119,1465.499,1449.519,25827,37787974.412999995,-0.0614746120098264,0.0
2025-09-16,1463.119,1447.999,1469.009,1444.229,32718,47375631.282,-1.0334087657941637,0.0
2025-09-17,1448.009,1441.019,1458.299,1438.029,30331,43707547.289,-0.48204453179870876,0.0
2025-09-18,1440.019,1415.979,1445.819,1411.519,49721,70403891.859,-1.7376592536253788,0.0
2025-09-19,1416.009,1415.989,1423.519,1405.029,32637,46213632.993,0.000706225162949714,0.0
2025-09-22,1413.109,1401.369,1415.989,1398.029,34947,48973642.442999996,-1.032493896492137,0.0
