date,open,close,high,low,volume,amount,pct_chg,turnover
2025-07-04,5.71,5.69,5.75,5.67,269551,156535443.0,-0.7,1.77
2025-07-07,5.68,5.78,5.84,5.67,313976,184632909.0,1.58,2.06
2025-07-08,5.78,5.8,5.81,5.75,236303,139118260.0,0.35,1.55
2025-07-09,5.81,5.82,5.88,5.8,273462,162249215.0,0.34,1.8
2025-07-10,5.81,5.83,5.86,5.79,251298,148839593.0,0.17,1.65
2025-07-11,5.84,5.95,5.97,5.8,414236,248720006.0,2.06,2.72
2025-07-14,5.98,5.98,6.04,5.95,347794,211972640.0,0.5,2.28
2025-07-15,5.95,5.93,6.01,5.89,263059,158736748.0,-0.84,1.73
2025-07-16,5.93,5.87,5.95,5.82,287041,171737512.0,-1.01,1.88
2025-07-17,5.86,5.88,5.89,5.84,177589,105892641.0,0.17,1.17
2025-07-18,5.87,6.1,6.11,5.87,438796,267641749.0,3.74,2.88
2025-07-21,6.11,6.21,6.24,6.09,439145,275890470.0,1.8,2.88
2025-07-22,6.24,6.38,6.4,6.19,454786,291794191.0,2.74,2.99
2025-07-23,6.4,6.36,6.5,6.31,503640,327243172.0,-0.31,3.31
2025-07-24,6.33,6.44,6.47,6.31,369426,240439032.0,1.26,2.43
2025-07-25,6.55,6.45,6.6,6.39,587717,385661944.0,0.16,3.86
2025-07-28,6.46,6.34,6.49,6.27,787546,509325839.0,-1.71,5.17
2025-07-29,6.33,6.38,6.42,6.31,383917,248280993.0,0.63,2.52
2025-07-30,6.38,6.26,6.39,6.21,352922,225756234.0,-1.88,2.32
2025-07-31,6.23,6.16,6.26,6.11,440278,275951040.0,-1.6,2.89
2025-08-01,6.17,6.24,6.27,6.15,323092,204361220.0,1.3,2.12
2025-08-04,6.23,6.4,6.5,6.22,554978,361433948.0,2.56,3.64
2025-08-05,6.42,6.39,6.45,6.35,249422,161967764.0,-0.16,1.64
2025-08-06,6.39,6.34,6.41,6.32,228961,147549391.0,-0.78,1.5
2025-08-07,6.34,6.31,6.4,6.3,228916,147290624.0,-0.47,1.5
2025-08-08,6.31,6.32,6.35,6.29,184007,118169955.0,0.16,1.21
2025-08-11,6.32,6.32,6.36,6.3,240064,154301137.0,0.0,1.58
