symbol,name,timestamp,trade_date,trade_time,open,high,low,close,volume,amount
600519.SH,贵州茅台,1627920000000,2021-08-03,2021-08-03 00:00:00,1495.1270404238155,1528.8235741267777,1459.5205467443582,1511.8067813950177,54375,9447823227.0
600519.SH,贵州茅台,1628006400000,2021-08-04,2021-08-04 00:00:00,1498.6358356747523,1521.0540989282747,1484.756217022032,1489.9416287229237,38175,6614683378.0
600519.SH,贵州茅台,1628092800000,2021-08-05,2021-08-05 00:00:00,1463.0466267009647,1508.090569676045,1448.7694598178423,1468.3357466358743,48060,8177369851.0
600519.SH,贵州茅台,1628179200000,2021-08-06,2021-08-06 00:00:00,1459.6933938010545,1464.0232125712994,1423.0498177814188,1444.1371586983792,45686,7616109615.0
600519.SH,贵州茅台,1628438400000,2021-08-09,2021-08-09 00:00:00,1426.8524530287395,1476.9780994706941,1425.9882177452575,1463.841723161768,47698,8028155490.0
600519.SH,贵州茅台,1628524800000,2021-08-10,2021-08-10 00:00:00,1469.1999819193563,1558.112507883982,1447.594099832307,1554.759274984072,83285,14549496463.0
600519.SH,贵州茅台,1628611200000,2021-08-11,2021-08-11 00:00:00,1538.3474469507491,1542.668623368159,1512.42038844629,1512.843863735196,38663,6821292779.0
600519.SH,贵州茅台,1628697600000,2021-08-12,2021-08-12 00:00:00,1496.8555109907795,1511.5475108099731,1457.2648926544703,1460.5576290845365,47551,8130692625.0
600519.SH,贵州茅台,1628784000000,2021-08-13,2021-08-13 00:00:00,1460.5576290845365,1480.435040604622,1451.051040966235,1469.2345513306957,37905,6418412544.0
600519.SH,贵州茅台,1629043200000,2021-08-16,2021-08-16 00:00:00,1465.7430407854285,1480.9535817747112,1456.3055914898052,1468.508593692571,28057,4773049794.0
600519.SH,贵州茅台,1629129600000,2021-08-17,2021-08-17 00:00:00,1469.1999819193563,1469.1999819193563,1407.7355685581185,1413.024688493028,61201,10140291982.0
600519.SH,贵州茅台,1629216000000,2021-08-18,2021-08-18 00:00:00,1404.0884956618245,1419.929928408049,1382.776453571159,1400.0611592407984,59970,9701556273.0
600519.SH,贵州茅台,1629302400000,2021-08-19,2021-08-19 00:00:00,1401.9797615701284,1420.1114178175803,1382.776453571159,1400.035232182294,41292,6682355678.0
600519.SH,贵州茅台,1629388800000,2021-08-20,2021-08-20 00:00:00,1344.032785812662,1380.659077126628,1318.390924951752,1337.8362188300962,114545,17825198286.0
600519.SH,贵州茅台,1629648000000,2021-08-23,2021-08-23 00:00:00,1329.0901577612588,1381.912218287677,1328.1308565965937,1357.0135997705613,71597,11218832883.0
600519.SH,贵州茅台,1629734400000,2021-08-24,2021-08-24 00:00:00,1361.1705714841096,1419.5496648833168,1353.193679817571,1404.537898009235,72594,11703813764.0
600519.SH,贵州茅台,1629820800000,2021-08-25,2021-08-25 00:00:00,1423.9486224762402,1452.667160946346,1419.9385707608837,1438.9690317031568,54239,9037626406.0
600519.SH,贵州茅台,1629907200000,2021-08-26,2021-08-26 00:00:00,1438.9431046446525,1438.9431046446525,1378.2132912743741,1378.455277153749,54020,8722233201.0
600519.SH,贵州茅台,1629993600000,2021-08-27,2021-08-27 00:00:00,1373.2698654528572,1404.3823356582084,1369.0351125637953,1379.3454394957355,36095,5791426192.0
600519.SH,贵州茅台,1630252800000,2021-08-30,2021-08-30 00:00:00,1387.0976299885688,1394.0115122564246,1336.0645364989582,1370.6771596024112,51588,8098190333.0
600519.SH,贵州茅台,1630339200000,2021-08-31,2021-08-31 00:00:00,1373.9612536796428,1396.906700456089,1343.9722893428182,1346.478571664916,43677,6888080927.0
600519.SH,贵州茅台,1630425600000,2021-09-01,2021-09-01 00:00:00,1347.342806948398,1413.016046140193,1323.2306425392508,1401.7982721605972,77316,12370243405.0
600519.SH,贵州茅台,1630512000000,2021-09-02,2021-09-02 00:00:00,1411.2875755732293,1419.9385707608837,1383.545622973458,1399.02407690062,42837,6939707277.0
600519.SH,贵州茅台,1630598400000,2021-09-03,2021-09-03 00:00:00,1391.4360911116482,1434.4490811705462,1367.2202184684834,1433.0922317754794,52835,8631165696.0
600519.SH,贵州茅台,1630857600000,2021-09-06,2021-09-06 00:00:00,1425.1239824617758,1476.2521418325694,1405.3762062342125,1443.85196105483,55338,9306030671.0
600519.SH,贵州茅台,1630944000000,2021-09-07,2021-09-07 00:00:00,1435.5207329220639,1455.7870503197162,1426.8524530287395,1442.4086881314151,31211,5204051657.0
600519.SH,贵州茅台,1631030400000,2021-09-08,2021-09-08 00:00:00,1434.6305705800773,1444.2927210494058,1407.0441803313327,1411.3826414544121,33064,5428265636.0
600519.SH,贵州茅台,1631116800000,2021-09-09,2021-09-09 00:00:00,1405.2465709416902,1421.6670413278478,1403.5267427275612,1412.2295920322244,19950,3257785762.0
600519.SH,贵州茅台,1631203200000,2021-09-10,2021-09-10 00:00:00,1412.2295920322244,1442.2358410747188,1411.2962179260642,1436.8602976114607,33388,5528034093.0
600519.SH,贵州茅台,1631462400000,2021-09-13,2021-09-13 00:00:00,1438.9517469974874,1455.3722173836447,1417.432288438786,1429.4451588791856,27720,4605031711.0
600519.SH,贵州茅台,1631548800000,2021-09-14,2021-09-14 00:00:00,1433.7663352965953,1454.5079821001627,1428.5809235957036,1432.0378647296316,33761,5638962654.0
600519.SH,贵州茅台,1631635200000,2021-09-15,2021-09-15 00:00:00,1425.9882177452575,1434.6305705800773,1391.4188064059786,1396.3795169331652,41570,6781755393.0
600519.SH,贵州茅台,1631721600000,2021-09-16,2021-09-16 00:00:00,1385.3691594216048,1420.8028060443658,1369.8129243189294,1415.6778908133176,45968,7458455126.0
600519.SH,贵州茅台,1631808000000,2021-09-17,2021-09-17 00:00:00,1400.0611592407984,1474.0396995068554,1400.0611592407984,1457.1006879506087,55130,9242101552.0
600519.SH,贵州茅台,1632240000000,2021-09-22,2021-09-22 00:00:00,1433.6194152984035,1458.8291585175728,1413.024688493028,1415.3494814055946,31743,5227723003.0
600519.SH,贵州茅台,1632326400000,2021-09-23,2021-09-23 00:00:00,1415.617394343474,1431.0699212121317,1404.4514744808869,1413.024688493028,30342,4964210091.0
600519.SH,贵州茅台,1632412800000,2021-09-24,2021-09-24 00:00:00,1406.9750415086542,1486.4674028833263,1406.9750415086542,1464.0145702184645,69537,11756596091.0
600519.SH,贵州茅台,1632672000000,2021-09-27,2021-09-27 00:00:00,1512.4117460934551,1610.416027240311,1512.4117460934551,1603.1564508590623,126869,23270689702.0
600519.SH,贵州茅台,1632758400000,2021-09-28,2021-09-28 00:00:00,1597.1068038746885,1607.4776272764723,1551.302333850144,1574.688540621166,49221,8973408813.0
600519.SH,贵州茅台,1632844800000,2021-09-29,2021-09-29 00:00:00,1563.4016278188915,1594.5227403770775,1543.437792770458,1572.9082159371933,43291,7870151768.0
600519.SH,贵州茅台,1632931200000,2021-09-30,2021-09-30 00:00:00,1571.3353077212562,1599.0254062040185,1558.5619102313926,1581.550568772013,40539,7411735789.0
